case_id,db_year
8008484,2021
8008496,2021
8008508,2021
8008512,2021
8008558,2021
81164718,2021
81164721,2021
81164724,2021
81164725,2021
81166434,2021
81166435,2021
81166439,2021
81166440,2021
81168635,2021
81169842,2021
81170896,2021
81185341,2021
81185344,2021
81185348,2021
81185351,2021
81209830,2021
81209840,2021
81209847,2021
81209861,2021
81209872,2021
81209885,2021
81209907,2021
81209911,2021
81209921,2021
81215688,2021
81215695,2021
81217555,2021
81223334,2021
81224247,2021
81225136,2021
81225138,2021
81225695,2021
81227830,2021
81228348,2021
81228708,2021
81236951,2021
81239352,2021
81239353,2021
81239356,2021
81240577,2021
81243424,2021
81243426,2021
81243428,2021
81245006,2021
81246697,2021
81246702,2021
81249972,2021
81251109,2021
81251500,2021
81252938,2021
81253579,2021
81253582,2021
81255747,2021
81255750,2021
81257127,2021
81258762,2021
81260455,2021
81260458,2021
81264908,2021
81266384,2021
81266387,2021
81270049,2021
81272375,2021
81272376,2021
81273009,2021
81276721,2021
81287356,2021
81287762,2021
81288054,2021
81288324,2021
81289351,2021
81289554,2021
81289589,2021
81290426,2021
81292114,2021
81292162,2021
81292282,2021
81292884,2021
81293064,2021
81293115,2021
81293833,2021
81297704,2021
81298290,2021
81298615,2021
81299061,2021
81299694,2021
81299698,2021
81301944,2021
81302372,2021
81302926,2021
81303074,2021
81304224,2021
81304310,2021
81305264,2021
81305285,2021
81305508,2021
81305665,2021
81305710,2021
81305788,2021
81306845,2021
81307401,2021
81308635,2021
81308970,2021
81309015,2021
81309034,2021
81309095,2021
81309171,2021
81309690,2021
81309770,2021
81309863,2021
81310084,2021
81310321,2021
81310643,2021
81311955,2021
81312245,2021
81312303,2021
81312311,2021
81312909,2021
81313488,2021
81314131,2021
81314170,2021
81314252,2021
81314310,2021
81314415,2021
81314435,2021
81314674,2021
81314702,2021
81314771,2021
81314824,2021
81314896,2021
81314930,2021
81314977,2021
81315140,2021
81315157,2021
81315191,2021
81315200,2021
81315283,2021
81315296,2021
81315649,2021
81315905,2021
81316231,2021
81316240,2021
81316278,2021
81317208,2021
81317510,2021
81317632,2021
81317786,2021
81318006,2021
81318010,2021
81319302,2021
81319452,2021
81320070,2021
81320829,2021
81321043,2021
81322814,2021
81323454,2021
81323592,2021
81324455,2021
81326169,2021
81326209,2021
81326215,2021
81326391,2021
81326524,2021
81326537,2021
81326552,2021
81326554,2021
81326565,2021
81326573,2021
81326615,2021
81326617,2021
81326641,2021
81326677,2021
81326702,2021
81326769,2021
81326782,2021
81326783,2021
81326803,2021
81326821,2021
81326824,2021
81326826,2021
81326828,2021
81326831,2021
81326836,2021
81326843,2021
81326849,2021
81326850,2021
81326864,2021
81326866,2021
81327214,2021
81327747,2021
81328626,2021
81329122,2021
81330785,2021
81330810,2021
81330841,2021
81331049,2021
81331273,2021
81331952,2021
81332000,2021
81332736,2021
81333030,2021
81333255,2021
81333284,2021
81333413,2021
81333417,2021
81333767,2021
81333801,2021
81333862,2021
81333919,2021
81335323,2021
81336861,2021
81337031,2021
81337063,2021
81337145,2021
81337901,2021
81337973,2021
81338004,2021
81339799,2021
81341173,2021
81341401,2021
81341402,2021
81341411,2021
81341415,2021
81341418,2021
81341823,2021
81342119,2021
81342370,2021
81342551,2021
81342872,2021
81343672,2021
81343702,2021
81344765,2021
81344890,2021
81345125,2021
81345818,2021
81346051,2021
81346239,2021
81346314,2021
81347629,2021
81347840,2021
81350481,2021
81350560,2021
81350624,2021
81351519,2021
81352308,2021
81352487,2021
81352537,2021
81352589,2021
81352592,2021
81352778,2021
81353383,2021
81354472,2021
81354502,2021
81354507,2021
81354519,2021
81354521,2021
81355363,2021
81356002,2021
81356334,2021
81356384,2021
81357705,2021
81357901,2021
81357966,2021
81357972,2021
81358028,2021
81358300,2021
81358590,2021
81358800,2021
81358811,2021
81360138,2021
81360164,2021
81361703,2021
81362066,2021
81362150,2021
81362813,2021
81362817,2021
81362821,2021
81362828,2021
81362830,2021
81362846,2021
81362854,2021
81362855,2021
81362861,2021
81362867,2021
81362868,2021
81362904,2021
81363243,2021
81363397,2021
81363695,2021
81363735,2021
81364163,2021
81364275,2021
81366116,2021
81366195,2021
81367264,2021
81367300,2021
81367370,2021
81367457,2021
81367467,2021
81367477,2021
81367620,2021
81367664,2021
81367752,2021
81367767,2021
81368135,2021
81368198,2021
81368351,2021
81369022,2021
81369026,2021
81369228,2021
81369285,2021
81371742,2021
81371912,2021
81372108,2021
81372321,2021
81372873,2021
81372966,2021
81373593,2021
81373598,2021
81373599,2021
81373601,2021
81373942,2021
81374475,2021
81374483,2021
81375211,2021
81375216,2021
81375225,2021
81376254,2021
81378456,2021
81378471,2021
81378529,2021
81380897,2021
81380972,2021
81381026,2021
81384131,2021
81384148,2021
81384157,2021
81385462,2021
81386104,2021
81386169,2021
81386176,2021
81386282,2021
81386447,2021
81386600,2021
81386724,2021
81387231,2021
81387238,2021
81387932,2021
81389865,2021
81390693,2021
81391852,2021
81391855,2021
81394094,2021
81394180,2021
81394186,2021
81394246,2021
81394418,2021
81395431,2021
81398830,2021
81400592,2021
81400678,2021
81400756,2021
81400819,2021
81400901,2021
81401343,2021
81401453,2021
81402996,2021
81403240,2021
81404407,2021
81404580,2021
81404881,2021
81405217,2021
81405980,2021
81406017,2021
81406033,2021
81408145,2021
81408538,2021
81410685,2021
81411131,2021
81411324,2021
81411657,2021
81412254,2021
81412429,2021
81412718,2021
81412790,2021
81413185,2021
81413314,2021
81413564,2021
81413660,2021
81413723,2021
81414875,2021
81414962,2021
81414968,2021
81415210,2021
81417955,2021
81418513,2021
81418526,2021
81419191,2021
81419510,2021
81419511,2021
81419513,2021
81419544,2021
81419568,2021
81419708,2021
81421150,2021
81421160,2021
81421187,2021
81422155,2021
81422962,2021
81423030,2021
81423636,2021
81423958,2021
81423969,2021
81424114,2021
81424376,2021
81424442,2021
81424786,2021
81425725,2021
81425834,2021
81426123,2021
81427061,2021
81427575,2021
81427624,2021
81427869,2021
81428040,2021
81428819,2021
81428828,2021
81429263,2021
81429716,2021
81429717,2021
81429882,2021
81430374,2021
81430696,2021
81431075,2021
81431713,2021
81431731,2021
81432777,2021
81432787,2021
81432789,2021
81432814,2021
81432907,2021
81432910,2021
81432931,2021
81432937,2021
81433191,2021
81433873,2021
81434672,2021
81434675,2021
81434823,2021
81435345,2021
81435386,2021
81437954,2021
81438035,2021
81438467,2021
81438484,2021
81438897,2021
81438899,2021
81438981,2021
81438985,2021
81438987,2021
81439184,2021
81439284,2021
81440018,2021
81440031,2021
81440510,2021
81440689,2021
81441414,2021
81441420,2021
81441461,2021
81441505,2021
81442283,2021
81443207,2021
81443409,2021
81443608,2021
81443610,2021
81443613,2021
81443616,2021
81443619,2021
81443697,2021
81444757,2021
81444759,2021
81445691,2021
81445861,2021
81445913,2021
81445953,2021
81445963,2021
81446001,2021
81446344,2021
81446807,2021
81446851,2021
81446867,2021
81446904,2021
81447122,2021
81447826,2021
81447898,2021
81447976,2021
81447990,2021
81448492,2021
81448596,2021
81448680,2021
81448886,2021
81449863,2021
81449865,2021
81449927,2021
81449967,2021
81449969,2021
81450007,2021
81450949,2021
81451579,2021
81451585,2021
81451663,2021
81451721,2021
81452148,2021
81452390,2021
81452635,2021
81452880,2021
81453063,2021
81453166,2021
81453172,2021
81453746,2021
81453750,2021
81453751,2021
81454099,2021
81454497,2021
81454739,2021
81454831,2021
81455615,2021
81455618,2021
81455993,2021
81456439,2021
81458388,2021
81458878,2021
81459012,2021
81459910,2021
81459989,2021
81460885,2021
81460886,2021
81460892,2021
81462932,2021
81464794,2021
81464800,2021
81464886,2021
81465822,2021
81465826,2021
81466636,2021
81466712,2021
81469711,2021
81472973,2021
81472976,2021
81472993,2021
81473003,2021
81473005,2021
81473036,2021
81473051,2021
81473077,2021
81473083,2021
81473089,2021
81473117,2021
81473206,2021
81473271,2021
81473675,2021
81474341,2021
81474414,2021
81475020,2021
81475220,2021
81475390,2021
81475424,2021
81475613,2021
81475673,2021
81475824,2021
81475871,2021
81475888,2021
81475950,2021
81476132,2021
81476135,2021
81476140,2021
81476141,2021
81476207,2021
81477325,2021
81477372,2021
81477415,2021
81477573,2021
81477580,2021
81477590,2021
81477714,2021
81477745,2021
81477783,2021
81477926,2021
81478693,2021
81478696,2021
81479804,2021
81480567,2021
81480578,2021
81481025,2021
81481134,2021
81481717,2021
81481895,2021
81483012,2021
81483278,2021
81483417,2021
81483436,2021
81484643,2021
81484655,2021
81484673,2021
81485908,2021
81485919,2021
81486037,2021
81486211,2021
81486246,2021
81486267,2021
81486556,2021
81486639,2021
81487197,2021
81487211,2021
81488055,2021
81488182,2021
81488214,2021
81488218,2021
81488270,2021
8910817,2021
8910826,2021
8910831,2021
8910851,2021
8910890,2021
8910893,2021
8910923,2021
8910934,2021
8910951,2021
8910956,2021
8911152,2021
8911156,2021
8911239,2021
8911255,2021
8911256,2021
8911304,2021
8911306,2021
8911314,2021
8911320,2021
8911423,2021
8911490,2021
8911601,2021
8911602,2021
8911653,2021
8911706,2021
8911711,2021
8911727,2021
8911780,2021
8911788,2021
8911801,2021
8911815,2021
8911816,2021
8911863,2021
8911875,2021
8911877,2021
8911898,2021
8911921,2021
8911945,2021
8911947,2021
8911990,2021
8939624,2021
8960699,2021
8998882,2021
8998898,2021
8998910,2021
9003892,2021
9003979,2021
9012187,2021
9012224,2021
9012230,2021
9013132,2021
9013156,2021
9016076,2021
9016084,2021
9016228,2021
9016231,2021
9016240,2021
9016289,2021
9016324,2021
9016326,2021
9016330,2021
9016380,2021
9016387,2021
9016391,2021
9016398,2021
9016447,2021
9016454,2021
9016455,2021
9016475,2021
9016487,2021
9016523,2021
9016529,2021
9016555,2021
9016634,2021
9016650,2021
9016687,2021
9016692,2021
9016718,2021
9016722,2021
9016727,2021
9016735,2021
9016773,2021
9016795,2021
9016803,2021
9016813,2021
9016827,2021
9016828,2021
9016831,2021
9016845,2021
9016847,2021
9016848,2021
9016851,2021
9016855,2021
9016859,2021
9016863,2021
9016864,2021
9016871,2021
9016876,2021
9016898,2021
9017025,2021
9017059,2021
9017073,2021
9017081,2021
9017108,2021
9017114,2021
9017129,2021
9017130,2021
9017142,2021
9017195,2021
9017196,2021
